"Sorry, could not retrieve your Twitter last name. Please try again.","Desculpe, não pôde recuperar o seu Twitter sobrenome. Por favor, tente novamente."
"Your Twitter account is now connected to your new user accout at our store. Now you can login using our Twitter Connect button.","A sua conta Twitter está agora ligado ao seu novo accout usuário em nossa loja. Agora você pode acessar através do nosso botão Twitter Connect."
"Since Twitter doesn\'t support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href="%s">Edit Account Information</a>.","Desde Twitter não apoia o acesso de terceiros para seu endereço de e-mail, não fomos capazes de enviar-lhe as suas credenciais accout loja. Para ser capaz de login usando as credenciais da conta loja que você vai precisar atualizar o seu endereço de e-mail e senha , usando o nosso <a href="%s"> editar informações de conta </a>."
"Google Connect","Conexão Google"
"Facebook Connect","Conexão Facebook"
"Twitter Connect","Conexão Twitter"
"Customer My Account Google Connect","Cliente Minha Conta Google Conectar"
"Customer My Account Facebook Connect","Cliente Minha Conta Google Conectar"
"Customer My Account Twitter Connect","Cliente Minha Conta Google Conectar"
"Connected as %s","Conectado como %s"
"Email: %s","Email: %s"
"Facebook #: %s","Facebook #: %s"
"Gender: %s","Sexo: %s"
"Birthday: %s","Aniversario: %s"
"You can connect store account with your Facebook account so you could login easier in the future.","Você pode conectar conta loja com você conta no Facebook para que você possa acessar mais fácil no futuro."
"Google #: %s","Google #: %s"
"You can connect store account with your Google account so you could login easier in the future.","Você pode conectar conta loja com você conta do Google para que você possa acessar mais fácil no futuro."
"Twitter #: %s","Twitter #: %s"
"You can connect store account with your Twitter account so you could login easier in the future.","Você pode conectar conta da loja com a sua conta Twitter para que você possa acessar mais fácil no futuro."
"You can continue with checkout using your <strong>Google</strong> account.","Você pode continuar com checkout usando seu <strong>Google</strong> conta."
"You can continue with checkout using your <strong>Facebook</strong> account.","Você pode continuar com checkout usando seu <strong>Facebook</strong> conta."
"You can continue with checkout using your <strong>Twitter</strong> account.","Você pode continuar com checkout usando seu <strong>Twitter</strong> conta."
"You can login using your Google account.","Você pode fazer o login usando o seu Google conta."
"You can login using your Facebook account.","Você pode fazer o login usando o seu Facebook conta."
"You can login using your Twitter account.","Você pode fazer o login usando o seu Twitter conta."
"You can register using your Google account.","Você pode fazer o login usando o seu Google conta."
"You can register using your Facebook account.","Você pode fazer o login usando o seu Facebook conta."
"You can register using your Twitter account.","Você pode fazer o login usando o seu Twitter conta."
